City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ilulissat,69.2167,-51.1,46.42,57,75,5.75,GL,1624134153
1,vanimo,-2.6741,141.3028,75.83,89,100,3.69,PG,1624134154
2,hermitage,41.2334,-80.4487,77.14,86,90,6.91,US,1624134154
3,wyndham,37.6985,-77.6125,93.81,49,1,1.01,US,1624133892
4,atuona,-9.8,-139.0333,79.66,75,16,21.12,PF,1624133890
5,srednyaya yelyuzan,53.0241,45.9529,59.72,84,7,3.6,RU,1624134155
6,carnarvon,-24.8667,113.6333,46.47,43,27,5.75,AU,1624134155
7,half moon bay,37.4636,-122.4286,98.92,61,20,1.99,US,1624134156
8,lebu,-37.6167,-73.65,52.45,64,95,5.97,CL,1624134156
9,iqaluit,63.7506,-68.5145,42.53,65,40,6.91,CA,1624134157
10,ushuaia,-54.8,-68.3,40.66,81,75,21.85,AR,1624134064
11,cape town,-33.9258,18.4232,64.81,42,0,9.22,ZA,1624134080
12,kapaa,22.0752,-159.319,82.72,73,40,3.0,US,1624134158
13,nishihara,26.1842,127.7558,80.26,94,75,8.05,JP,1624134158
14,avarua,-21.2078,-159.775,77.05,69,40,12.66,CK,1624134126
15,mount isa,-20.7333,139.5,49.77,57,65,6.91,AU,1624134159
16,barsovo,61.1667,73.1667,53.73,65,77,9.89,RU,1624134159
17,royal tunbridge wells,51.1325,0.2633,58.1,92,100,10.49,GB,1624134159
18,dikson,73.5069,80.5464,31.39,84,57,6.67,RU,1624134160
19,qaanaaq,77.484,-69.3632,40.69,53,9,3.58,GL,1624134160
20,castro,-24.7911,-50.0119,54.61,98,100,2.44,BR,1624134161
21,san jose,37.3394,-121.895,101.26,32,20,6.91,US,1624133893
22,port lincoln,-34.7333,135.8667,50.97,67,1,4.5,AU,1624134162
23,busselton,-33.65,115.3333,56.05,79,100,10.04,AU,1624134162
24,georgetown,5.4112,100.3354,77.95,93,20,2.3,MY,1624134137
25,norman wells,65.282,-126.8329,69.84,35,20,14.97,CA,1624134163
26,thompson,55.7435,-97.8558,71.76,33,75,6.91,CA,1624134163
27,bengkulu,-3.8004,102.2655,75.49,85,98,4.0,ID,1624134163
28,yatsushiro,32.5,130.6,68.04,84,67,4.85,JP,1624134164
29,khilok,51.3674,110.4676,50.47,93,100,1.57,RU,1624134164
30,abnub,27.2696,31.1511,82.62,22,0,8.16,EG,1624134165
31,yellowknife,62.456,-114.3525,55.92,44,40,6.91,CA,1624134165
32,torbay,47.6666,-52.7314,65.17,83,75,4.61,CA,1624134165
33,aklavik,68.2191,-135.0107,77.83,31,20,10.36,CA,1624134166
34,along,28.1667,94.7667,73.78,99,95,0.49,IN,1624134166
35,buala,-8.145,159.5921,79.83,80,75,4.88,SB,1624134167
36,castro alves,-12.7656,-39.4283,75.7,64,79,9.17,BR,1624134167
37,santana do livramento,-30.8908,-55.5328,55.69,72,57,9.17,BR,1624134168
38,rikitea,-23.1203,-134.9692,74.46,77,9,21.5,PF,1624134168
39,maragogi,-9.0122,-35.2225,76.5,76,99,13.09,BR,1624134169
40,cururupu,-1.8283,-44.8683,79.34,84,78,5.21,BR,1624134169
41,vaini,-21.2,-175.2,74.16,71,100,9.13,TO,1624134170
42,east london,-33.0153,27.9116,64.36,55,4,8.19,ZA,1624134170
43,namatanai,-3.6667,152.4333,78.12,82,10,4.81,PG,1624134170
44,synya,65.3718,58.0387,37.85,93,100,22.53,RU,1624134171
45,yinchuan,38.4681,106.2731,77.18,23,100,3.51,CN,1624134171
46,mataura,-46.1927,168.8643,30.47,98,26,1.9,NZ,1624134172
47,ocampo,21.65,-101.5,59.54,77,100,10.29,MX,1624134172
48,bredasdorp,-34.5322,20.0403,56.28,87,47,1.14,ZA,1624134172
49,kaeo,-35.1,173.7833,53.33,97,35,13.09,NZ,1624134173
50,fare,-16.7,-151.0167,80.87,74,4,17.6,PF,1624134173
51,leningradskiy,69.3833,178.4167,41.0,87,91,4.88,RU,1624134174
52,san patricio,28.017,-97.5169,95.02,47,25,14.09,US,1624134174
53,pacific grove,36.6177,-121.9166,96.3,76,1,5.99,US,1624134175
54,port elizabeth,-33.918,25.5701,52.09,93,20,3.44,ZA,1624134059
55,punta arenas,-53.15,-70.9167,42.91,81,90,16.11,CL,1624134011
56,hithadhoo,-0.6,73.0833,83.5,70,100,14.79,MV,1624134176
57,praia da vitoria,38.7333,-27.0667,72.75,83,75,18.9,PT,1624134176
58,zabol,32.25,67.25,69.91,9,0,7.58,AF,1624134176
59,tasiilaq,65.6145,-37.6368,39.36,65,100,4.59,GL,1624134177
60,makakilo city,21.3469,-158.0858,81.28,57,75,9.22,US,1624134177
61,carauari,-4.8828,-66.8958,84.67,70,98,3.47,BR,1624134178
62,abeche,13.8292,20.8324,84.69,44,87,11.72,TD,1624134178
63,jamestown,42.097,-79.2353,72.99,92,90,11.99,US,1624134178
64,klaksvik,62.2266,-6.589,49.12,84,58,10.31,FO,1624134179
65,matara,5.9485,80.5353,79.2,83,100,11.83,LK,1624134179
66,yar-sale,66.8333,70.8333,44.42,78,87,8.97,RU,1624134180
67,champasak,14.75,106.0,73.96,97,30,1.39,LA,1624134180
68,mahebourg,-20.4081,57.7,71.89,64,20,12.66,MU,1624134181
69,barda,40.3744,47.1267,80.2,37,0,8.52,AZ,1624134181
70,sterling,39.0062,-77.4286,87.08,69,90,10.0,US,1624134121
71,hilo,19.7297,-155.09,84.27,65,1,5.75,US,1624133958
72,albany,42.6001,-73.9662,85.64,46,100,9.01,US,1624134086
73,esperance,-33.8667,121.9,53.37,58,100,16.96,AU,1624134183
74,kaitangata,-46.2817,169.8464,43.97,93,70,5.44,NZ,1624134183
75,victoria,22.2855,114.1577,86.97,85,98,1.01,HK,1624133921
76,lamar,33.6668,-95.5836,91.31,43,20,6.91,US,1624134184
77,grindavik,63.8424,-22.4338,46.9,70,20,21.85,IS,1624134184
78,tobol,52.6844,62.5794,59.79,65,100,11.05,KZ,1624134185
79,kamaishi,39.2667,141.8833,65.23,97,88,4.7,JP,1624134185
80,nikolskoye,59.7035,30.7861,72.01,69,5,4.05,RU,1624134185
81,port blair,11.6667,92.75,82.42,77,71,8.88,IN,1624134186
82,ahuimanu,21.4447,-157.8378,82.45,58,20,11.5,US,1624134186
83,fairlie,55.756,-4.8556,61.84,78,100,3.44,GB,1624134187
84,nizhnevartovsk,60.9344,76.5531,42.82,100,98,2.24,RU,1624134187
85,ovsyanka,55.9575,92.5519,65.37,77,100,2.98,RU,1624134188
86,portland,45.5234,-122.6762,80.64,50,20,1.99,US,1624134156
